Journal Report 1 (R4)	Number of Successful Full-text Article Requests by Month and Journal																				
SIMON FRASER UNIV																					
																					
Period covered by Report:																					
2013-01-01 to 2013-12-31																					
Date run:																					
2014-02-24																					
Journal	Publisher	Platform	Journal DOI	Proprietary Identifier	Print ISSN	Online ISSN	Reporting Period Total	Reporting Period HTML	Reporting Period PDF	Jan-2013	Feb-2013	Mar-2013	Apr-2013	May-2013	Jun-2013	Jul-2013	Aug-2013	Sep-2013	Oct-2013	Nov-2013	Dec-2013
Asian ethnicity	University of South Australia	EBSCOhost		7809	1463-1369	1469-2953	194	0	194	8	10	30	27	11	8	7	8	4	36	35	10
Asian Ethnology	Nanzan University	EBSCOhost		419866	1882-6865		121	5	116	4	12	25	14	1	13	8	2	5	23	13	1
Asian Folklore Studies	Japan Endocrine Society	EBSCOhost		7812	0385-2342		100	14	86	9	8	19	10	1	5	2	0	11	24	8	3
Asian Investor	Haymarket Business Publications Ltd	EBSCOhost		462788	1027-5231		16	9	7	0	1	0	0	0	2	2	0	2	2	6	1
Asian Journal of Andrology = _______(___)	Wiley-Blackwell	EBSCOhost		123911	1008-682X	1745-7262	32	0	32	1	4	9	1	1	4	1	3	3	4	0	1
Asian Journal of Animal Sciences	Asian Network for Scientific Information	EBSCOhost		375427	1819-1878		2	0	2	0	0	0	1	0	0	0	0	0	0	0	1
Asian Journal of Animal and Veterinary Advances	ASET - The Neurodiagnostic Society	EBSCOhost		361099	1683-9919	1996-3289	38	0	38	10	3	3	2	5	1	0	0	3	9	2	0
Asian Journal of Atmospheric Environment	Asian Journal for Atmospheric Environment	EBSCOhost		488468	1976-6912		7	0	7	0	0	0	0	0	0	0	0	2	3	2	0
Asian journal of biochemistry	Asian Network for Scientific Information	EBSCOhost		208615	1815-9923	1815-9931	3	0	3	0	0	1	0	0	0	0	0	0	0	1	1
Asian Journal of Business Management	Southeast Asian Business Program	EBSCOhost		605200	2041-8744	2041-8752	31	0	31	1	0	5	8	0	2	8	0	4	2	1	0
Asian Journal of Cell Biology	Asian Network for Scientific Information	EBSCOhost		361100	1814-0068	2152-3517	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0
Asian Journal of Clinical Nutrition	Asian Network for Scientific Information	EBSCOhost		404466	1992-1470	2077-2033	13	0	13	3	1	2	0	0	4	0	0	0	3	0	0
Asian Journal of Communication	University of South Australia	EBSCOhost		148658	0129-2986	1742-0911	249	0	249	2	12	40	22	3	13	26	11	3	32	71	14
Asian Journal of Crop Science	Asian Network for Scientific Information	EBSCOhost		418303	1994-7879	2077-2041	5	0	5	0	0	4	0	0	1	0	0	0	0	0	0
Asian Journal of Distance Education	Paul Kawachi & Ramesh C. Sharma (Editors Asian JDE)	EBSCOhost		779329	1347-9008		4	0	4	0	0	2	0	0	0	0	2	0	0	0	0
Asian Journal of Earth Sciences	ASET - The Neurodiagnostic Society	EBSCOhost		399252	1819-1886	2152-3509	4	0	4	0	0	0	0	0	0	0	0	0	0	4	0
Asian Journal of English Language Teaching	Chinese University Press	EBSCOhost		1214931	1026-2652		5	0	5	0	1	0	0	0	0	0	0	0	0	4	0
Asian Journal of Epidemiology	Asian Network for Scientific Information	EBSCOhost		404467	1992-1462	2077-205X	11	0	11	0	0	0	0	0	0	0	0	5	0	6	0
Asian Journal of Exercise & Sports Science	Sagamore Journals	EBSCOhost		498516	1975-2938	2165-4174	46	0	46	5	1	11	8	4	0	0	0	3	10	4	0
Asian journal of finance & accounting	Emerald Group Publishing Limited	EBSCOhost		557743	1946-052X		20	0	20	3	1	0	1	0	1	2	1	1	4	5	1
Asian Journal of Latin American Studies	Latin American Studies Association of Korea	EBSCOhost		839550			65	0	65	7	7	10	4	0	3	3	0	0	8	18	5
Asian Journal of Marketing	Frank Cass & Company Ltd.	EBSCOhost		376488	1819-1924	0218-6101	9	0	9	0	2	0	4	0	0	1	0	0	1	1	0
Asian Journal of Mathematics & Statistics	Asian Network for Scientific Information	EBSCOhost		418304	1994-5418	2077-2068	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
British Library Journal	British Library Board 96	EBSCOhost		201645	0305-5167		10	0	10	0	0	2	3	0	1	0	0	0	4	0	0
British Medical Journal	BMJ Publishing Group	EBSCOhost		90021	0007-1447	0959-8146	193	0	193	32	13	13	6	12	8	9	11	38	29	20	2
British Medical Journal (Clinical Research Edition)	BMJ Publishing Group	EBSCOhost		89255	0267-0623		197	0	197	14	19	39	21	10	8	12	6	13	15	35	5
British politics	Palgrave Macmillan Ltd.	EBSCOhost		203110	1746-918X	1746-9198	27	0	27	0	2	1	13	0	0	5	1	0	1	3	1
British postgraduate musicology	British Postgraduate Musicology	EBSCOhost		97902	1460-9231		2	2	0	0	0	0	0	0	0	0	0	0	0	0	2
British poultry science	Wayne State University Press	EBSCOhost		12168	0007-1668	1466-1799	61	1	60	3	13	4	1	2	3	13	3	3	11	4	1
British Review of New Zealand Studies	British Review of New Zealand Studies	EBSCOhost		198771	0951-6204		3	0	3	0	1	1	1	0	0	0	0	0	0	0	0
British Scholar	Edinburgh University Press	EBSCOhost		559202	1941-6105	1941-6113	8	0	8	1	2	1	0	0	0	1	0	3	0	0	0
Brno Studies in English	"Masaryk University, Faculty of Arts"	EBSCOhost		576998	0524-6881	1805-0867	115	0	115	3	11	4	2	5	2	2	0	15	15	40	16
Broadcast Engineering	"Penton Media, Inc."	EBSCOhost		12194	0007-1994		99	42	57	1	6	8	10	3	3	12	0	8	20	25	3
Broadcast Engineering (World Edition)	"Penton Media, Inc."	EBSCOhost		419944	0007-1994		25	0	25	1	1	2	5	2	4	1	0	0	1	8	0
Broadcasting & Cable	"NewBay Media, LLC"	EBSCOhost		12199	1068-6827		410	72	338	22	56	107	38	2	19	30	1	16	42	72	5
Broadcasting & Telecommunications	Statistics Canada	EBSCOhost		129817	1497-0422	1492-4455	6	0	6	0	0	3	1	0	0	0	0	0	0	2	0
"Brock Citizen (Beaverton/Cannington/Sunderland, ON)"		EBSCOhost		2023389			2	2	0	0	0	0	0	0	0	0	0	0	0	2	0
Broken Pencil	Broken Pencil	EBSCOhost		452656	1201-8996		9	0	9	0	4	2	0	0	0	0	0	0	0	3	0
Broker Magazine	"SourceMedia, Inc."	EBSCOhost		12210	1540-0824		26	7	19	5	11	1	1	1	3	0	0	1	1	2	0
Brontë studies : journal of the Brontë Society	Maney Publishing	EBSCOhost		93176	1474-8932	1745-8226	233	0	233	17	13	16	30	11	24	15	8	16	13	60	10
Brookings papers on economic activity	Brookings Institution Press	EBSCOhost		12220	0007-2303	1533-4465	56	8	48	0	3	12	2	2	1	3	7	3	2	11	10
Brookings Review	Brookings Institution Press	EBSCOhost		12223	0745-1253		70	54	16	2	3	10	4	1	8	5	1	1	13	22	0
Brookings trade forum	Brookings Institution Press	EBSCOhost		12225	1520-5479	1534-0635	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Brookings Wharton Papers on Urban Affairs	Brookings Institution Press	EBSCOhost		12227	1528-7084	1533-4449	15	0	15	0	1	8	2	0	0	0	0	0	2	0	2
"Brooklyn Journal of Corporate, Financial & Commercial Law"	Brooklyn Law School	EBSCOhost		381943	1934-2497		14	0	14	0	0	1	0	2	8	1	0	0	2	0	0
Brooklyn Journal of International Law	Brooklyn Law School	EBSCOhost		12231	0740-4824	2163-0895	87	0	87	1	9	13	6	1	2	5	2	10	8	27	3
Brooklyn Law Review	Brooklyn Law School	EBSCOhost		12232	0007-2362		54	0	54	5	1	8	5	0	2	3	0	4	11	12	3
"Brother Jonathan. A Weekly Compend of Belles Lettres and the Fine Arts, Standard Literature, and General Intelligence"	American Antiquarian Society Historical Periodicals	EBSCOhost		144590			1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Brotherhood of Locomotive Engineer's Monthly Journal	American Antiquarian Society Historical Periodicals	EBSCOhost		1150431			1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Brown Journal of World Affairs	Brown Journal of World Affairs	EBSCOhost		12245	1080-0786		586	0	586	20	46	83	73	26	32	31	15	26	79	139	16
Brown University Child and Adolescent Behavior Letter	"American Physical Therapy Association, Oncology Section"	EBSCOhost		12246	1058-1073	1556-7575	1380	206	1174	73	123	204	97	22	85	147	21	71	160	319	58
Brown University Child and Adolescent Psychopharmacology Update	"American Physical Therapy Association, Oncology Section"	EBSCOhost		74114	1527-8395	1556-7567	307	0	307	18	22	57	10	14	7	10	2	39	46	63	19
Brown University Digest of Addiction Theory and Application	"American Physical Therapy Association, Oncology Section"	EBSCOhost		12250	1040-6328	1556-7559	349	52	297	24	27	70	31	22	18	10	1	27	44	62	13
Brown University Geriatric Psychopharmacology Update	"American Physical Therapy Association, Oncology Section"	EBSCOhost		12253	1529-2584	1556-7540	142	9	133	29	13	29	7	5	12	2	1	15	11	17	1
Brown University Long-Term Care Quality Advisor	Manisses Communications Group Inc.	EBSCOhost		12257	1095-1083		12	12	0	0	0	4	0	0	0	1	0	0	2	5	0
Brown University Long-Term Care Quality Letter	"John Wiley & Sons, Inc."	EBSCOhost		12259	1088-9248		12	12	0	1	1	1	0	0	1	3	1	0	3	0	1
Brown University Psychopharmacology Update	"American Physical Therapy Association, Oncology Section"	EBSCOhost		198644	1068-5308	1556-7532	273	52	221	16	17	47	23	7	5	6	6	25	37	70	14
Bruce R Hopkins' Nonprofit Counsel	Springer eBooks	EBSCOhost		90232	1542-8419	1542-8427	2	0	2	0	0	2	0	0	0	0	0	0	0	0	0
Brussels Economic Review	Editions du Dulbea	EBSCOhost		462202	1379-9932		7	0	7	0	0	1	0	4	0	0	0	1	1	0	0
Bryn Mawr classical review	Bryn Mawr Commentaries Inc.	EBSCOhost		162281	1055-7660	1063-2948	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0
BSHM Bulletin: Journal of the British Society for the History of Mathematics	Wayne State University Press	EBSCOhost		277514	1749-8430	1749-8341	5	0	5	0	0	1	0	0	1	0	0	1	1	1	0
Buca Faculty of Education Journal	Buca Faculty of Education Journal	EBSCOhost		1437661			3	0	3	0	2	0	0	0	0	0	0	0	0	1	0
Buchanan's Journal of Man	American Antiquarian Society Historical Periodicals	EBSCOhost		770354			2	1	1	0	0	0	0	2	0	0	0	0	0	0	0
Clearing House	Wayne State University Press	EBSCOhost		17930	0009-8655	1939-912X	1481	575	906	122	122	214	125	59	110	103	40	108	209	213	56
Clearing Quarterly & Directory	"SourceMedia, Inc."	EBSCOhost		206501			1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Clergy Journal	Logos Productions	EBSCOhost		17942	0009-6431		66	0	66	0	14	6	7	3	3	3	3	1	12	13	1
Cleveland State Law Review	Cleveland State University School of Social Work	EBSCOhost		17951	0009-8876		5	0	5	0	0	0	0	0	0	0	0	0	2	2	1
Click	Carus Publishing Company	EBSCOhost		88941	1094-4273		12	8	4	2	0	0	0	0	0	0	0	1	0	9	0
Click : your online medical management magazine / American College of Physician Executives	American College of Physician Executives	EBSCOhost		17954	1532-0391		1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Climacteric	International Pharmaceutical Federation	EBSCOhost		17961	1369-7137	1473-0804	148	0	148	17	27	25	10	15	7	2	7	3	16	16	3
Climate dynamics	Springer Science & Business Media B.V.	EBSCOhost		17969	0930-7575	1432-0894	190	0	190	3	29	28	18	16	5	12	1	6	9	50	13
Climate Law	Brill Academic Publishers	EBSCOhost		2385232	1878-6553	1878-6561	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Climate of the past	Copernicus Gesellschaft mbH	EBSCOhost		193608	1814-9324	1814-9332	21	0	21	0	0	0	2	2	0	0	0	1	10	6	0
Climate of the Past Discussions	Copernicus Gesellschaft mbH	EBSCOhost		190977	1814-9340	1814-9359	7	0	7	0	4	1	0	0	1	0	0	1	0	0	0
Climate Policy	Wayne State University Press	EBSCOhost		171020	1469-3062	1752-7457	56	0	56	0	2	7	4	12	2	8	1	1	9	8	2
Clinical Allergy: Journal of the British Allergy Society	American Association on Intellectual & Developmental Disabilities	EBSCOhost		169498	0009-9090		12	0	12	1	2	1	0	3	1	1	1	1	0	1	0
Clinical Audit	Dove Medical Press Ltd	EBSCOhost		569759		1179-2760	4	0	4	0	0	0	0	0	0	0	0	0	2	2	0
Clinical Autonomic Research	Springer Science & Business Media B.V.	EBSCOhost		18043	0959-9851	1619-1560	39	0	39	8	5	4	1	2	0	3	7	0	2	6	1
Clinical Breast Cancer (Cancer Information Group)	"Cure Media, LP"	EBSCOhost		170902	1526-8209	1938-0666	12	0	12	1	2	5	2	0	0	0	0	0	1	0	1
Clinical Cases in Mineral and Bone Metabolism	CIC Edizioni Internazionali s.r.l.	EBSCOhost		591174	1724-8914	1971-3266	5	0	5	0	0	1	0	0	0	0	0	0	3	1	0
Clinical Chemistry and Laboratory Medicine	De Gruyter	EBSCOhost		18065	1434-6621	1437-4331	436	0	436	29	50	57	53	30	19	29	15	24	37	74	19
Clinical Child and Family  Psychology Review	Springer Science & Business Media B.V.	EBSCOhost		18066	1096-4037	1573-2827	961	0	961	58	117	144	58	27	65	56	26	93	132	144	41
Clinical Colorectal Cancer	Elsevier Science	EBSCOhost		902820	1533-0028	1938-0674	11	0	11	0	0	6	3	0	0	0	0	0	1	1	0
Clinical Colorectal Cancer (Cancer Information Group)	"Cure Media, LP"	EBSCOhost		170901	1533-0028	1938-0674	14	6	8	0	0	7	1	1	2	0	0	0	3	0	0
"Clinical, Cosmetic and Investigational Dermatology"	Dove Medical Press Ltd	EBSCOhost		484088		1178-7015	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0
Clinical data management	Aspen Publishers Inc.	EBSCOhost		18068	1073-6379		9	0	9	1	0	0	0	0	0	0	0	6	0	0	2
Clinical drug investigation	Springer Science & Business Media B.V.	EBSCOhost		18071	1173-2563	1179-1918	166	0	166	16	19	32	19	3	11	11	6	11	7	20	11
Clinical Endocrinology	Wiley-Blackwell	EBSCOhost		18076	0300-0664	1365-2265	341	0	341	19	24	75	35	13	29	27	18	31	22	36	12
Clinical Ethics	"Sage Publications, Ltd."	EBSCOhost		201801	1477-7509	1758-101X	99	0	99	5	8	13	8	5	1	2	2	3	36	13	3
Clinical Excellence for Nurse Practitioners	"Springer Publishing Company, Inc."	EBSCOhost		188187	1085-2360		53	0	53	1	3	10	5	5	6	2	0	4	6	5	6
Clinical exercise physiology	"Human Kinetics Publishers, Inc."	EBSCOhost		18082	1520-8702		2	0	2	0	0	0	2	0	0	0	0	0	0	0	0
Clinical Genetics	Wiley-Blackwell	EBSCOhost		18084	0009-9163	1399-0004	277	0	277	25	29	40	19	20	22	8	8	22	35	39	10
Clinical hemorheology and microcirculation	Hindawi Publishing Corporation	EBSCOhost		18086	1386-0291	1875-8622	48	0	48	5	7	8	2	1	3	4	1	5	8	3	1
Clinical Infectious Diseases	Oxford University Press / Books	EBSCOhost		18099	1058-4838	1537-6591	927	8	919	51	83	95	72	39	45	58	28	90	153	186	27
Clinical Intensive Care : International Journal of Critical & Coronary Care Medicine	International Pharmaceutical Federation	EBSCOhost		18102	0956-3075	1473-7752	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Clinical Journal of Oncology Nursing	Oncology Nursing Society	EBSCOhost		101035	1092-1095	1538-067X	2060	0	2060	149	173	256	85	68	97	94	44	297	331	375	91
Clinical Kinesiology: Journal of the American Kinesiotherapy Association	American Kinesiotherapy Association	EBSCOhost		93571	0896-9620		20	0	20	1	1	0	3	1	0	0	1	2	1	10	0
Clinical Laboratory Science	American Society for Clinical Laboratory Science	EBSCOhost		18120	0894-959X		268	0	268	43	19	51	13	9	6	14	1	20	52	37	3
Clinical law review	New York University School of Law	EBSCOhost		18123	1079-1159		36	0	36	4	2	7	0	0	1	7	0	2	6	4	3
Clinical Linguistics & Phonetics	International Pharmaceutical Federation	EBSCOhost		18125	0269-9206	1464-5076	334	0	334	25	38	41	26	21	9	19	14	18	62	52	9
Clinical Lung Cancer	Medical Education Solutions Ltd	EBSCOhost		902821	1525-7304	1938-0690	8	0	8	0	2	2	1	0	0	3	0	0	0	0	0
"Clinical Lymphoma, Myeloma and Leukemia (Cancer Information Group)"	Elsevier Inc.	EBSCOhost		594165	2152-2650	2152-2669	13	0	13	0	0	0	0	4	1	1	0	2	1	3	1
Clinical Lymphoma & Myeloma	Elsevier Science	EBSCOhost		209608	1557-9190	1938-0712	7	0	7	0	0	0	0	1	0	1	0	0	1	4	0
Computer Applications in Engineering Education	"American Physical Therapy Association, Oncology Section"	EBSCOhost		19593	1061-3773	1099-0542	3	0	3	0	0	0	0	0	0	0	0	2	0	1	0
Computer Artist	Wiley eBooks	EBSCOhost		19597	1063-312X		1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
The Computer Bulletin	Oxford University Press / Books	EBSCOhost		19602	0010-4531	1464-357X	5	0	5	0	0	2	0	0	0	0	0	0	0	2	1
Computer Dealer News	CEDROM-SNi	EBSCOhost		19617	1184-2369		24	23	1	4	3	1	0	0	7	1	0	5	0	3	0
Computer Economics Report	Computer Economics Incorporated	EBSCOhost		19620	0739-0874		52	0	52	6	0	7	1	1	4	19	5	1	8	0	0
Computer Gaming World	"Ziff Davis, Inc."	EBSCOhost		19631	0744-6667		32	11	21	7	0	4	7	0	3	1	0	1	0	6	3
Computer Graphics Forum	Wiley-Blackwell	EBSCOhost		19634	0167-7055	1467-8659	93	0	93	4	7	15	20	8	10	3	1	5	12	6	2
Computer Graphics World	"Computer Graphics World, LLC"	EBSCOhost		19637	0271-4159	2163-3800	256	167	89	38	18	52	20	16	20	8	8	23	10	40	3
Computer Journal	Oxford University Press / Books	EBSCOhost		19641	0010-4620	1460-2067	9	0	9	0	0	0	0	0	0	2	1	2	1	3	0
Computer music journal	MIT Press	EBSCOhost		19664	0148-9267	1531-5169	66	28	38	19	1	2	6	16	3	9	0	0	1	7	2
Computer Protocols	Worldwide Videotex	EBSCOhost		19675	0899-126X		5	0	5	1	1	0	1	0	0	0	1	0	0	1	0
Computer Science Journal of Moldova	Institute of Mathematics & Computer Science	EBSCOhost		464681	1561-4042		2	0	2	0	0	0	0	0	0	0	0	0	1	0	1
Computer Science & Engineering	Copernicus Gesellschaft mbH	EBSCOhost		931215	2231-3583	2231-329X	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Computer Science and Information Systems	Springer Science & Business Media B.V. / Books	EBSCOhost		604150	1820-0214		3	0	3	0	1	0	0	0	0	0	0	0	0	2	0
Computer science and telecommunications	"Internet Academy, Registered Union"	EBSCOhost		159158	1512-1232		1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Computer Security Update	Worldwide Videotex	EBSCOhost		19698			14	1	13	0	1	8	0	0	1	2	1	0	1	0	0
Computer Supported Cooperative Work: CSCW: An International Journal	Akademiai Kiado	EBSCOhost		19711	0925-9724	1573-7551	37	0	37	6	0	5	4	1	3	3	3	1	2	5	4
Computer Technology & Application	David Publishing	EBSCOhost		932590	1934-7332		1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Computer Weekly	"TechTarget, Inc."	EBSCOhost		19728	0010-4787		738	448	290	20	48	111	50	27	45	36	27	50	130	188	6
Computer workstations	Worldwide Videotex	EBSCOhost		19729	0899-9783		16	2	14	0	2	1	2	3	0	0	1	3	2	2	0
UCLA Entertainment Law Review	UCLA Law Review	EBSCOhost		68082	1073-2896	1939-5523	22	0	22	0	3	2	0	0	2	0	0	0	3	12	0
UCLA Journal of Environmental Law & Policy	UCLA Law Review	EBSCOhost		68083	0733-401X	1942-8553	4	0	4	1	1	0	0	1	0	1	0	0	0	0	0
UCLA Journal of International Law and Foreign Affairs	UCLA Law Review	EBSCOhost		68084	1089-2605		32	0	32	0	2	6	17	1	0	5	0	0	1	0	0
UCLA Journal of Islamic and Near Eastern Law	UCLA Law Review	EBSCOhost		73464	1536-5107		7	0	7	0	2	0	3	0	0	0	0	0	0	2	0
UCLA journal of law and technology	UCLA Law Review	EBSCOhost		73465		1943-1716	11	0	11	0	1	0	7	0	0	0	0	0	1	1	1
UCLA Law Review	UCLA Law Review	EBSCOhost		68085	0041-5650	1943-1724	177	0	177	2	16	28	5	5	8	18	4	6	22	56	7
UCLA Pacific Basin Law Journal	UCLA Law Review	EBSCOhost		68088	0884-0768		2	0	2	0	0	0	0	0	0	0	0	0	0	2	0
UCLA Women's Law Journal	UCLA Law Review	EBSCOhost		68089	1068-9893		17	0	17	0	2	1	1	4	2	2	0	0	2	3	0
Ufahamu: A Journal of African Studies	UFAHAMU	EBSCOhost		260039	0041-5715	2150-5802	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
UK Vet Livestock	MA Healthcare Limited	EBSCOhost		732782	1464-262X	2044-3870	5	0	5	0	0	0	0	0	0	0	0	1	0	4	0
Ukrainian Mathematical Journal	Springer Science & Business Media B.V.	EBSCOhost		68117	0041-5995	1573-9376	4	0	4	1	0	0	0	0	3	0	0	0	0	0	0
Ulster medical journal	Ulster Medical Society	EBSCOhost		129424	0041-6193	2046-4207	3	0	3	0	1	0	1	0	0	0	1	0	0	0	0
Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology (Blackwell)	"American Physical Therapy Association, Oncology Section"	EBSCOhost		68153	0960-7692	1469-0705	9	0	9	2	1	1	0	0	1	0	0	0	3	0	1
Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology (Blackwell)	Wiley-Blackwell	EBSCOhost		89298	0960-7692	1469-0705	56	0	56	9	2	8	5	0	0	1	0	8	10	9	4
Ultrasound Review of Obstetrics and Gynecology	Wayne State University Press	EBSCOhost		84171	1472-2240	1743-8950	9	0	9	0	0	1	0	0	5	0	0	2	0	0	1
Ultrastructural pathology	International Pharmaceutical Federation	EBSCOhost		68159	0191-3123	1521-0758	17	0	17	0	1	2	2	1	0	3	0	2	3	2	1
Uludag Bee Journal	Uludag Beekeeping Association	EBSCOhost		422938	1303-0248		5	0	5	0	1	0	0	0	0	2	0	0	0	2	0
The UMAP Journal	COMAP Inc.	EBSCOhost		68162	0197-3622		6	4	2	0	0	0	2	0	0	0	3	0	0	1	0
Umbrella	Umbrella Associates	EBSCOhost		208867	0160-0699		11	10	1	0	0	0	0	0	0	5	0	0	3	2	1
UME	UME	EBSCOhost		513933	1037-5872		1	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Umeni / Art	Institute of Art History of the Academy of Sciences of the Czech Republic	EBSCOhost		560226	0049-5123		101	47	54	7	5	27	3	0	1	1	0	0	20	31	6
UMKC law review	"University of Missouri-Kansas City, School of Law"	EBSCOhost		68169	0047-7575		2	0	2	0	0	0	0	1	0	0	0	1	0	0	0
UMTRI Research Review	"University of Michigan, Transportation Research Institute"	EBSCOhost		68171	0739-7100		7	0	7	0	1	2	2	0	0	0	0	1	0	1	0
UN Chronicle	United Nations Publications	EBSCOhost		68175	0251-7329		771	329	442	34	79	90	66	42	38	57	9	52	109	158	37
Unbound: Harvard Journal of the Legal Left	Harvard Law School Journals	EBSCOhost		196419		1932-3808	4	0	4	0	0	1	0	0	1	2	0	0	0	0	0
Uncoverings : The ... Research Papers of the American Quilt Study Group	American Quilt Study Group	EBSCOhost		68183	0277-0628		39	39	0	2	0	10	0	1	0	3	0	3	6	13	1
Undercurrent	YFoundations	EBSCOhost		302581	1712-0934		112	0	112	3	13	30	14	0	7	1	3	2	9	27	3
Underground Construction	"Oildom Publishing Company of Texas, Inc."	EBSCOhost		68189	1092-8634		136	15	121	6	7	8	19	48	5	7	1	9	4	22	0
Understanding Statistics	Wayne State University Press	EBSCOhost		68197	1534-844X	1532-8031	17	0	17	3	1	5	2	0	0	1	0	3	0	2	0
UNESCO Courier	UNESCO	EBSCOhost		78396	0041-5278	1993-8616	613	487	126	57	62	98	26	10	23	36	9	31	121	121	19
Unesco sources	UNESCO	EBSCOhost		68215	1014-6989		65	65	0	1	14	10	18	4	1	3	1	1	6	4	2
Uniforms	"Advertising Specialty Institute, Inc."	EBSCOhost		355715	1938-6222		5	0	5	0	0	1	0	0	1	3	0	0	0	0	0
Union Seminary Quarterly Review	American Theological Library Association Historical Periodicals	EBSCOhost		89807	0362-1545		117	0	117	1	11	8	7	10	9	4	4	0	10	51	2
UNISCI Discussion Papers	Unidad de Investigaciones Sobre Seguridad y Cooperacion International (UNISCI)	EBSCOhost		337153		1696-2206	14	0	14	0	0	6	2	0	1	1	0	0	0	4	0
UNITAR e-Journal	Universiti Tun Abdul Razak Sdn Bhd	EBSCOhost		190454	1511-7219		7	0	7	1	1	0	1	1	0	0	0	1	0	1	1
Unitarian Monitor	American Antiquarian Society Historical Periodicals	EBSCOhost		764882			1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
United Nations Chronicle	United Nations Publications	EBSCOhost		68256	0251-7329		43	43	0	0	3	15	6	0	1	0	1	0	7	6	4
United Presbyterian & Evangelical Guardian (ATLAP000036482)	American Theological Library Association Historical Periodicals	EBSCOhost		1214165			3	2	1	0	0	0	0	0	0	0	0	0	0	0	3
United States Banker	"SourceMedia, Inc."	EBSCOhost		68036	0148-8848		2	1	1	0	0	0	0	0	0	2	0	0	0	0	0
Universal Access in the Information Society (UAIS)	Springer Science & Business Media B.V.	EBSCOhost		68285	1615-5289	1615-5297	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Universal Journal of Environmental Research and Technology	Euresian Publications	EBSCOhost		922957		2249-0256	5	0	5	1	0	0	0	0	0	0	0	1	0	2	1
Universal Magazine of Knowledge & Pleasure	American Antiquarian Society Historical Periodicals	EBSCOhost		658499			15	13	2	0	0	0	1	0	10	4	0	0	0	0	0
Universia business review	Universia	EBSCOhost		201589	1698-5117		36	0	36	1	2	5	11	1	1	6	0	2	3	4	0
Universitas	Pontificia Universidad Javeriana	EBSCOhost		344334	0341-0129		5	0	5	0	0	2	0	2	0	0	0	1	0	0	0
Universitas Humanística	Pontificia Universidad Javeriana	EBSCOhost		347824	0120-4807	2011-2734	9	0	9	2	0	0	1	0	0	0	0	0	0	5	1
Universitas Philosophica	Pontificia Universidad Javeriana	EBSCOhost		375769	0120-5323		2	0	2	0	0	0	0	0	0	2	0	0	0	0	0
Universitas Psychologica	Pontificia Universidad Javeriana	EBSCOhost		212995	1657-9267	2011-2777	75	0	75	1	9	14	8	2	2	3	0	4	13	15	4
University Bookman	Intercollegiate Studies Institute	EBSCOhost		186365	0041-9265		4	2	2	0	0	0	0	0	0	0	0	0	4	0	0
University business	"Professional Media Group, LLC"	EBSCOhost		68302	1097-6671	2162-6642	225	0	225	9	34	37	15	6	12	17	8	12	34	29	12
University of Arkansas at Little Rock law review	University of Arkansas at Little Rock Law Review	EBSCOhost		129477	1527-5787		1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
University of Auckland Business Review	University of Auckland Business School	EBSCOhost		144134	1174-9946		60	0	60	5	7	5	7	2	1	5	2	4	16	2	4
University of Baltimore Journal of Land & Development	University of Baltimore on behalf of the University of Baltimore Journal of Environmental Law	EBSCOhost		1369381			17	0	17	0	1	1	0	3	6	5	0	0	1	0	0
University of Central Florida Undergraduate Research Journal	"University of Central Florida, Undergraduate Research Journal"	EBSCOhost		932231	1947-8836		12	0	12	0	0	0	0	0	0	0	0	1	2	6	3
University of Chicago Law Review	University of Chicago Law Review	EBSCOhost		68330	0041-9494	1939-859X	77	0	77	3	7	14	3	8	4	11	1	2	4	18	2
University of Colorado law review	University Press of Colorado	EBSCOhost		68337	0041-9516		2	2	0	0	0	2	0	0	0	0	0	0	0	0	0
University of Denver Sports and Entertainment Law Journal	University of Denver Sturm College of Law	EBSCOhost		675128			2	0	2	0	0	1	0	0	0	0	0	0	1	0	0
University of Denver Water Law Review	University of Denver Sturm College of Law	EBSCOhost		68342	1521-3455		6	0	6	0	0	0	1	0	0	5	0	0	0	0	0
